code,title,year,ratings_avg,nations,genres
tlAnYeB,블루 록,2022,8.323408299018055,['일본'],"['애니메이션', '스포츠', '액션', '모험']"
tRWm6j8,이세계 약국,2022,8.049135220125786,['일본'],"['애니메이션', '판타지', '코미디']"
tPDOaX1,템테이션 아일랜드 시즌 5,2023,6.754237288135593,['미국'],['예능']
tRaDAv3,닥터 스톤 3기,2023,8.073584905660377,['일본'],"['애니메이션', '액션', '모험', '드라마', '판타지', 'SF']"
tRaDAW3,빙속성 남자와 쿨한 동료 여자,2023,7.704730831973899,['일본'],"['애니메이션', '로맨틱 코미디', '로맨스', '코미디', '판타지']"
tRMxZ00,흑의 소환사,2022,7.6364477335800185,['일본'],"['애니메이션', '액션', '판타지']"
tE6YzVN,백성녀와 흑목사,2023,7.593023255813954,['일본'],"['애니메이션', '로맨틱 코미디', '판타지']"
tE15rLM,어른들은 모르는 고딩엄빠 4,2023,5.674418604651163,['한국'],['예능']
tE15k20,펜션 메챠,2021,7.552674230145867,['일본'],"['드라마', 'TV드라마']"
tRN7gwd,해피메리엔딩,2023,7.634472511144131,['한국'],"['BL', '로맨스', '드라마', 'TV드라마']"
tEZAkbN,일곱 개의 마검이 지배한다,2023,5.798387096774194,['일본'],"['애니메이션', '액션', '판타지']"
